col 0 (AR),col 1 (EN),Category (EN),Category (AR)
قدّيش فيكن تسمّوا ماركات سيارات بالعالم؟,How many car brands around the world can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من تطبيقات تواصل اجتماعي؟,How many social media apps can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من متاحف مشهورة بالعالم؟,How many famous museums around the world can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من شركات طيران؟,How many airlines can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من عطور مشهورة؟,How many famous perfumes can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من رياضات أولمبية؟,How many Olympic sports can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من مسلسلات تركية مشهورة؟,How many famous Turkish TV series can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من شخصيات أساطير إغريقية؟,How many characters from Greek mythology can you name?,تاريخ,History
قدّيش فيكن تسمّوا من عناصر الجدول الدوري؟,How many elements of the periodic table can you name?,علوم,Science
قدّيش فيكن تسمّوا من سباقات سيارات مشهورة؟,How many famous car races can you name?,رياضة,Sport
قدّيش فيكن تسمّوا من أنواع شاي؟,How many types of tea can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من أنواع بيتزا؟,How many types of pizza can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من علماء كيمياء؟,How many chemists can you name?,علوم,Science
قدّيش فيكن تسمّوا من معالم سياحية بالقاهرة؟,How many tourist attractions in Cairo can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من أنواع الحساء؟,How many types of soup can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من أكلات مكسيكية؟,How many Mexican dishes can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من أكلات فيها أرز؟,How many rice-based dishes can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من أكلات فيها باذنجان؟,How many dishes that contain eggplant can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من أكلات فيها دجاج؟,How many chicken dishes can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من أنواع السلطة؟,How many types of salad can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من مدن في فرنسا؟,How many cities in France can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من مدن في ألمانيا؟,How many cities in Germany can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من دول علمها أخضر وأبيض؟,How many countries have green-and-white flags can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من مدن في تركيا؟,How many cities in Turkey can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من مدن في إيطاليا؟,How many cities in Italy can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من عواصم آسيا؟,How many Asian capitals can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من مدن في الهند؟,How many cities in India can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من مدن في إسبانيا؟,How many cities in Spain can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من مدن في الصين؟,How many cities in China can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من مدن في البرازيل؟,How many cities in Brazil can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من دول فيها غابات أمازون؟,How many countries contain parts of the Amazon rainforest can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من مدن في مصر؟,How many cities in Egypt can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من مدن في إيران؟,How many cities in Iran can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من مدن في العراق؟,How many cities in Iraq can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من مدربي كرة قدم مشهورين؟,How many famous football coaches can you name?,رياضة,Sport
قدّيش فيكن تسمّوا من لاعبي كرة القدم البرازيليين؟,How many Brazilian football players can you name?,رياضة,Sport
قدّيش فيكن تسمّوا من رياضات مائية؟,How many water sports can you name?,رياضة,Sport
قدّيش فيكن تسمّوا من أبطال العالم في الملاكمة؟,How many world boxing champions can you name?,رياضة,Sport
قدّيش فيكن تسمّوا من رياضات شتوية؟,How many winter sports can you name?,رياضة,Sport
قدّيش فيكن تسمّوا من دول استضافت كأس العالم؟,How many countries have hosted the FIFA World Cup can you name?,رياضة,Sport
قدّيش فيكن تسمّوا من الدول اللي فازت بكأس العالم لكرة القدم؟,How many countries have won the FIFA World Cup can you name?,رياضة,Sport
قدّيش فيكن تسمّوا من الأندية اللي فازت بدوري أبطال أوروبا؟,How many clubs have won the UEFA Champions League can you name?,رياضة,Sport
قدّيش فيكن تسمّوا من أفلام مارفل؟,How many Marvel movies can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من مغنيين اسمهم عمر؟,How many singers named Omar can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من رسامين عالميين مشهورين؟,How many famous painters can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من مسلسلات أمريكية من التسعينات؟,How many American TV series from the 1990s can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من مسلسلات خيال علمي؟,How many science fiction TV series can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من ممثلين لبنانيين؟,How many Lebanese actors can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من مسلسلات مصرية قديمة؟,How many classic Egyptian TV series can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من متاحف فنية بباريس؟,How many art museums in Paris can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من أغاني راغب علامة؟,How many songs by Ragheb Alama can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من أغاني وائل كفوري؟,How many songs by Wael Kfoury can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من أغاني عبد الحليم حافظ؟,How many songs by Abdel Halim Hafez can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من أغاني فضل شاكر؟,How many songs by Fadel Shaker can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من أغاني ماجدة الرومي؟,How many songs by Majida El Roumi can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من أفلام رسوم متحركة؟,How many animated movies can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من روائيين بريطانيين مشهورين؟,How many famous British novelists can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من أغاني إليسا؟,How many songs by Elissa can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من أنواع الصخور والمعادن؟,How many types of rocks and minerals can you name?,علوم,Science
قدّيش فيكن تسمّوا من رؤساء فرنسيين؟,How many French presidents can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من ملوك إنجلترا عبر التاريخ؟,How many kings of England throughout history can you name?,تاريخ,History
قدّيش فيكن تسمّوا من زعماء الثورات الكبرى؟,How many leaders of major revolutions can you name?,تاريخ,History
قدّيش فيكن تسمّوا من فراعنة مصر المشهورين؟,How many famous Egyptian pharaohs can you name?,تاريخ,History
قدّيش فيكن تسمّوا من أنواع التأمين؟,How many types of insurance can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من ماركات ساعات مشهورة؟,How many famous watch brands can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من ماركات هواتف مشهورة؟,How many famous smartphone brands can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من ماركات مستحضرات تجميل؟,How many cosmetics brands can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من ماركات قهوة مشهورة؟,How many famous coffee brands can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من ماركات إلكترونيات منزلية؟,How many home electronics brands can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من شركات ألبسة رياضية؟,How many sportswear brands can you name?,معلومات عامة,General Knowledge
