السؤال,Question,الإجابة
بالمليار دولار كم بلغت قيمة صفقة شراء تويتر من قِبل ماسك؟,What was the value of Elon Musk's Twitter acquisition (billions of USD)?,44
كم عدد الدول في أوروبا؟,How many countries are in Europe?,44
بالمليون كم عدد سكان الأرجنتين تقريباً؟,What is the approximate population of Argentina (millions)?,46
كم عدد الكروموسومات في الخلية البشرية؟,How many chromosomes are in a human cell?,46
كم عدد الدول في آسيا؟,How many countries are in Asia?,48
بالمليون كم عدد سكان كوريا الجنوبية تقريباً؟,What is the approximate population of South Korea (millions)?,52
كم عدد الدول في أفريقيا؟,How many countries are in Africa?,54
كم ارتفاع شلالات نياغارا بالأمتار؟,What is the height of Niagara Falls (meters)?,57
كم عدد سنوات حكم الإمبراطور هيروهيتو لليابان؟,How many years did Emperor Hirohito reign in Japan?,62
كم عدد ميداليات أولمبياد 2024 للمملكة المتحدة؟,How many medals did the United Kingdom win at the 2024 Olympics?,65
بالمليون كم عدد سكان فرنسا تقريباً؟,What is the approximate population of France (millions)?,68
كم عدد سنوات حكم الملكة إليزابيث الثانية؟,How many years did Queen Elizabeth II reign?,70
كم عدد أسنان التمساح؟,How many teeth does a crocodile have?,80
كم طول قناة بنما بالكيلومترات؟,What is the length of the Panama Canal (km)?,82
بالمليون كم عدد سكان ألمانيا تقريباً؟,What is the approximate population of Germany (millions)?,84
بالمليون كم عدد سكان تركيا تقريباً؟,What is the approximate population of Turkey (millions)?,85
بالمليون كم عدد سكان إيران تقريباً؟,What is the approximate population of Iran (millions)?,87
كم ارتفاع تمثال الحرية بالأمتار؟,What is the height of the Statue of Liberty (meters)?,93
كم عدد أقمار المشتري المكتشفة حتى 2024؟,How many moons of Jupiter had been discovered by 2024?,95
بالمليون كم عدد مشتركي يوتيوب بريميوم؟,How many YouTube Premium subscribers are there? (millions),100
كم عدد طوابق مبنى إمباير ستيت؟,How many floors does the Empire State Building have?,102
كم طول ملعب كرة القدم القياسي بالأمتار؟,What is the standard length of a football pitch (meters)?,105
كم عدد سور القرآن الكريم؟,How many surahs are in the Quran?,114
كم عدد عناصر الجدول الدوري؟,How many elements are in the periodic table?,118
بالمليون كم عدد سكان إثيوبيا تقريباً؟,What is the approximate population of Ethiopia (millions)?,125
بالمليون كم عدد سكان المكسيك تقريباً؟,What is the approximate population of Mexico (millions)?,130
كم عدد سنوات الاستعمار الفرنسي للجزائر؟,How many years did French colonial rule last in Algeria?,132
كم عدد أقمار زحل المكتشفة حتى 2024؟,How many moons of Saturn had been discovered by 2024?,146
كم كيلومتراً تبعد الأرض عن الشمس؟ (مليون),What is the distance from Earth to the Sun? (million km),150
كم طول جدار برلين بالكيلومترات؟,What is the length of the Berlin Wall (km)?,155
كم عدد أدوار برج خليفة؟,How many floors does the Burj Khalifa have?,163
بالآلاف كم عدد موظفي شركة آبل تقريباً؟,Approximately how many employees does Apple have? (thousands),164
بالمليون كم عدد سكان بنغلاديش تقريباً؟,What is the approximate population of Bangladesh (millions)?,170
بالآلاف كم عدد موظفي غوغل تقريباً؟,Approximately how many employees does Google have? (thousands),180
كم وزن قلب الحوت الأزرق بالكيلوغرامات؟,What is the weight of a blue whale's heart (kg)?,180
كم طول قناة السويس بالكيلومترات؟,What is the length of the Suez Canal (km)?,193
كم عدد الدول الأعضاء في الأمم المتحدة؟,How many member states are in the United Nations?,193
كم عدد سنوات بناء برج بيزا المائل؟,How many years did it take to build the Leaning Tower of Pisa?,199
بالمليار كم عدد المجرات في الكون المرئي؟,How many galaxies are in the observable universe? (billions),200
بالمليون كم عدد مشتركي أمازون برايم؟,How many Amazon Prime subscribers are there? (millions),200
كم عدد عظام الجسم البشري لدى الشخص البالغ؟,How many bones are in the adult human body?,206
بالمليون كم عدد سكان البرازيل تقريباً؟,What is the approximate population of Brazil (millions)?,215
بالمليون كم عدد سكان نيجيريا تقريباً؟,What is the approximate population of Nigeria (millions)?,220
بالآلاف كم عدد موظفي شركة مايكروسوفت تقريباً؟,Approximately how many employees does Microsoft have? (thousands),220
بالمليون يورو كم بلغت قيمة انتقال نيمار لباريس سان جيرمان؟ ,What was Neymar's transfer fee to Paris Saint-Germain? (million euros),222
بالمليون كم عدد سكان باكستان تقريباً؟,What is the approximate population of Pakistan (millions)?,230
كم عدد حلقات مسلسل فريندز؟,How many episodes of Friends were produced?,236
كم عدد السنوات لاكتمال دورة بلوتو حول الشمس؟,How many years does Pluto take to orbit the Sun?,248
بالمليون كم عدد مشتركي نتفلكس حول العالم؟,How many Netflix subscribers are there worldwide? (millions),260
بالمليون كم عدد سكان إندونيسيا تقريباً؟,What is the approximate population of Indonesia (millions)?,278
كم عدد أسنان القرش؟,How many teeth does a shark have?,300
كم طول برج إيفل بالأمتار؟,What is the height of the Eiffel Tower (meters)?,330
كم عدد أنواع الكلاب المعترف بها رسمياً؟,How many officially recognized dog breeds are there?,360
كم عمق البحر الميت بالأمتار تحت مستوى سطح البحر؟,How deep is the Dead Sea below sea level (meters)?,430
كم عدد شركات S&P 500؟,How many companies are in the S&P 500 index?,500
كم عدد العضلات في جسم الإنسان تقريباً؟,Approximately how many muscles are in the human body?,600
كم عدد أيام الحمل عند الفيلة تقريباً؟,Approximately how many days is an elephant's pregnancy?,645
كم عدد الأيام التي يستغرقها المريخ ليدور حول الشمس؟,How many days does Mars take to orbit the Sun?,687
بالمليون كم عدد سكان أوروبا تقريباً؟,What is the approximate population of Europe (millions)?,750
كم ارتفاع برج خليفة بالأمتار؟,What is the height of the Burj Khalifa (meters)?,828
كم عدد أهداف ليونيل ميسي في مسيرته الاحترافية تقريباً؟,Approximately how many career goals has Lionel Messi scored?,850
كم عدد ركاب طائرة إيرباص A380؟,How many passengers can an Airbus A380 carry?,853
كم عدد الأهداف التي سجلها رونالدو في مسيرته تقريباً؟,Approximately how many career goals has Cristiano Ronaldo scored?,900
كم طول نهر الراين بالكيلومترات؟,What is the length of the Rhine River (km)?,1230
كم وزن الدماغ البشري بالغرامات تقريباً؟,What is the approximate weight of the human brain (grams)?,1400
بالمليون كم عدد سكان الهند تقريباً؟,What is the approximate population of India (millions)?,1440
بالآلاف كم عدد موظفي أمازون تقريباً؟,Approximately how many employees does Amazon have? (thousands),1500
كم طول نهر الدانوب بالكيلومترات؟,What is the length of the Danube River (km)?,2860
كم طول نهر فولغا بالكيلومترات؟,What is the length of the Volga River (km)?,3530
كم طول نهر المسيسيبي بالكيلومترات؟,What is the length of the Mississippi River (km)?,3730
كم ارتفاع جبل فوجي بالأمتار؟,What is the height of Mount Fuji (meters)?,3776
كم طول نهر الكونغو بالكيلومترات؟,What is the length of the Congo River (km)?,4700
كم ارتفاع جبل مون بلان بالأمتار؟,What is the height of Mont Blanc (meters)?,4808
كم ارتفاع جبل كيليمنجارو بالأمتار؟,What is the height of Mount Kilimanjaro (meters)?,5895
كم عدد آيات القرآن الكريم؟,How many verses (ayahs) are in the Quran?,6236
كم طول نهر اليانغتسي بالكيلومترات؟,What is the length of the Yangtze River (km)?,6300
كم يبلغ نصف قطر الأرض بالكيلومترات؟,What is Earth's radius (km)?,6371
كم طول نهر الأمازون بالكيلومترات؟,What is the length of the Amazon River (km)?,6400
كم طول نهر النيل بالكيلومترات؟,What is the length of the Nile River (km)?,6650
كم عدد جزر اليابان تقريباً؟,Approximately how many islands does Japan have?,6852
كم ارتفاع جبل أكونكاغوا بالأمتار؟,What is the height of Aconcagua (meters)?,6961
كم طول جبال الأنديز بالكيلومترات؟,What is the length of the Andes Mountains (km)?,7000
كم ارتفاع جبل إيفرست بالأمتار؟,What is the height of Mount Everest (meters)?,8849
كم طول الحدود الأمريكية الكندية بالكيلومترات؟,What is the length of the Canada–United States border (km)?,8891
كم وزن برج إيفل بالطن؟,What is the weight of the Eiffel Tower (tons)?,10100
كم عدد جزر إندونيسيا تقريباً؟,Approximately how many islands does Indonesia have?,17000
كم عدد كيلومترات جدار الصين العظيم تقريباً؟,Approximately how many kilometers long is the Great Wall of China?,21000
كم عدد مطاعم ستاربكس في العالم؟,How many Starbucks stores are there worldwide?,35000
بالمليون كم مساحة  الإمارات العربية المتحدة بالكيلومتر المربع؟,What is the area of the United Arab Emirates in square kilometers?,83600
كم طول الساحل الكندي بالكيلومترات؟,What is the length of Canada's coastline (km)?,202080
كم عدد الكيلومترات من الأرض إلى القمر؟,What is the distance from Earth to the Moon (km)?,384400
