Question (AR),Question (EN),Answer (AR),Answer (EN),Category (AR),Subcategory (AR),Category (EN),Subcategory (EN)
من فاز بكأس العالم 1978؟,Which country won the 1978 FIFA World Cup?,الأرجنتين,Argentina,⚽ رياضة,كرة قدم,⚽ Sports,Football
من خسر نهائي كأس العالم 2014؟,Which team lost the 2014 World Cup final?,الأرجنتين,Argentina,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي دولة فازت بكأس العالم 2022؟,Which country won the 2022 FIFA World Cup?,الأرجنتين,Argentina,⚽ رياضة,كرة قدم,⚽ Sports,Football
لأي منتخب يلعب ليونيل ميسي؟,Which country does Lionel Messi represent?,الأرجنتين,Argentina,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي منتخب يُلقب بالألبيسيليستي؟,Which country is nicknamed La Albiceleste?,الأرجنتين,Argentina,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكوبا أمريكا 2021؟,Which country won Copa América 2021?,الأرجنتين,Argentina,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكوبا أمريكا 2024؟,Which country won Copa América 2024?,الأرجنتين,Argentina,⚽ رياضة,كرة قدم,⚽ Sports,Football
من خسر أول نهائي كأس عالم؟,Which country lost the first World Cup final?,الأرجنتين,Argentina,⚽ رياضة,كرة قدم,⚽ Sports,Football
من أي دولة نادي ريفر بليت؟,Which country is River Plate from?,الأرجنتين,Argentina,⚽ رياضة,كرة قدم,⚽ Sports,Football
من أي دولة نادي بوكا جونيورز؟,Which country is Boca Juniors from?,الأرجنتين,Argentina,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ يلعب في ملعب الإمارات؟,Which club plays at Emirates Stadium?,أرسنال,Arsenal,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ يُلقب بالمدفعجية؟,Which club is nicknamed The Gunners?,أرسنال,Arsenal,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ فاز بأكبر عدد من كؤوس الاتحاد الإنجليزي؟,Which club has won the most FA Cups?,أرسنال,Arsenal,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ فاز بالدوري الانكليزي دون هزيمة؟,Which club won the Premier League unbeaten?,أرسنال,Arsenal,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي مدير فني من فاز بالدوري الإنجليزي دون هزيمة عام 2004؟,Which manager won the Premier League unbeaten in 2004?,أرسين فينغر,Arsène Wenger,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادي انكليزي يُلقب بالفيلانز؟,Which English club is nicknamed The Villans?,أستون فيلا,Aston Villa,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي ناد اسباني يُلقب بالروخي بلانكوس؟,Which Spanish club is nicknamed The Colchoneros?,أتلتيكو مدريد,Atlético Madrid,⚽ رياضة,كرة قدم,⚽ Sports,Football
في أي نادٍ اشتهر فرناندو توريس؟,Which club made Fernando Torres famous?,أتلتيكو مدريد,Atlético Madrid,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما لقب المنتخب الإيطالي؟,What is the nickname of the Italian national team?,الأزوري,Azzurri,⚽ رياضة,كرة قدم,⚽ Sports,Football
إلى أي نادٍ انتقل رونالدينيو من باريس سان جيرمان؟,Which club did Ronaldinho join from PSG?,برشلونة,Barcelona,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ ضم ميسي وهو مراهق؟,Which club signed Messi as a teenager?,برشلونة,Barcelona,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بالدوري الألماني عام 2024؟,Which club won the Bundesliga in 2024?,باير ليفركوزن,Bayer Leverkusen,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ يلعب في أليانز أرينا؟,Which club plays at Allianz Arena?,بايرن ميونخ,Bayern Munich,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بدوري الأبطال 2020؟,Which club won the Champions League in 2020?,بايرن ميونخ,Bayern Munich,⚽ رياضة,كرة قدم,⚽ Sports,Football
لأي نادٍ يلعب هاري كين؟,Which club does Harry Kane play for?,بايرن ميونخ,Bayern Munich,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ شهير يقع في مدينة ميونخ؟,Which famous football club is based in Munich?,بايرن ميونخ,Bayern Munich,⚽ رياضة,كرة قدم,⚽ Sports,Football
لأي منتخب يلعب كيفن دي بروين؟,Which country does Kevin De Bruyne represent?,بلجيكا,Belgium,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي منتخب يُعرف بالشياطين الحمر؟,Which country is known as the Red Devils internationally?,بلجيكا,Belgium,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما لقب برشلونة؟,What is the nickname of FC Barcelona?,البلوغرانا,Blaugrana,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ كرة قدم يقع في دورتموند؟,Which Football club is based in Dortmund?,بوروسيا دورتموند,Borussia Dortmund,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ يُعرف بـ BVB؟,Which club is known as BVB?,بوروسيا دورتموند,Borussia Dortmund,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ إنجليزي يُلقب بالكرز؟,Which English club is nicknamed The Cherries?,بورنموث,Bournemouth,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكأس العالم 2002؟,Which country won the 2002 FIFA World Cup?,البرازيل,Brazil,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكأس العالم 1994؟,Which country won the 1994 FIFA World Cup?,البرازيل,Brazil,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكأس العالم 1970؟,Which country won the 1970 FIFA World Cup?,البرازيل,Brazil,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي منتخب شارك في جميع نسخ كأس العالم؟,Which nation has appeared in every World Cup?,البرازيل,Brazil,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي دولة استضافت كأس العالم 2014؟,Which country hosted the 2014 World Cup?,البرازيل,Brazil,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكأس القارات 2013؟,Which country won the Confederations Cup 2013?,البرازيل,Brazil,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بذهبية كرة القدم الأولمبية 2016؟,Which country won Olympic football gold in 2016?,البرازيل,Brazil,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بذهبية كرة القدم الأولمبية 2020؟,Which country won Olympic football gold in 2020?,البرازيل,Brazil,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي دولة فازت بأكبر عدد من كؤوس العالم؟,Which country has won the most FIFA World Cups?,البرازيل,Brazil,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي منتخب يُلقب بالسيليساو؟,Which country is nicknamed Seleção?,البرازيل,Brazil,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ إنجليزي يُلقب بالنحل؟,Which English club is nicknamed The Bees?,برينتفورد,Brentford,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بأمم أفريقيا 2017؟,Which country won AFCON 2017?,الكاميرون,Cameroon,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما اسم ملعب نادي برشلونة؟,What is Barcelona's home stadium name?,كامب نو,Camp Nou,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ يلعب في ستامفورد بريدج؟,Which club plays at Stamford Bridge?,تشيلسي,Chelsea,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بدوري الأبطال 2012؟,Which club won the Champions League in 2012?,تشيلسي,Chelsea,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بدوري الأبطال 2021؟,Which club won the Champions League in 2021?,تشيلسي,Chelsea,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ يُلقب بالبلوز؟,Which club is nicknamed The Blues?,تشيلسي,Chelsea,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكوبا أمريكا المئوية 2016؟,Which country won the 2016 Copa América Centenario?,تشيلي,Chile,⚽ رياضة,كرة قدم,⚽ Sports,Football
من درب ليستر عند فوزه بالدوري؟,Who managed Leicester during their 2016 title win?,كلاوديو رانييري,Claudio Ranieri,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بأول كأس عالم للأندية بنظامه الحديث؟,Which club won the inaugural FIFA Club World Cup in 2000?,كورينثيانز,Corinthians,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي لاعب يُعرف بـ CR7؟,Which player is known as CR7?,كريستيانو رونالدو,Cristiano Ronaldo,⚽ رياضة,كرة قدم,⚽ Sports,Football
من الهداف التاريخي لدوري الأبطال؟,Who is the all-time top scorer in the Champions League?,كريستيانو رونالدو,Cristiano Ronaldo,⚽ رياضة,كرة قدم,⚽ Sports,Football
من الهداف التاريخي للبرتغال؟,Who is Portugal's all-time top scorer?,كريستيانو رونالدو,Cristiano Ronaldo,⚽ رياضة,كرة قدم,⚽ Sports,Football
من صاحب أكبر عدد أهداف دولية؟,Which player has scored the most international goals?,كريستيانو رونالدو,Cristiano Ronaldo,⚽ رياضة,كرة قدم,⚽ Sports,Football
من خسر نهائي كأس العالم 2018؟,Which team lost the 2018 World Cup final?,كرواتيا,Croatia,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ يُلقب بالنسور؟,Which club is nicknamed The Eagles?,كريستال بالاس,Crystal Palace,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي مهاجم فرنسي سجل الهدف الذهبي في نهائي يورو 2000؟,Which French striker scored the Golden Goal in Euro 2000 final?,دافيد تريزيغيه,David Trezeguet,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بيورو 1992؟,Which country won the 1992 European Championship?,الدنمارك,Denmark,⚽ رياضة,كرة قدم,⚽ Sports,Football
من يُلقب بالرجل الجليدي؟,Which player is nicknamed Iceman?,دينيس بيركامب,Dennis Bergkamp,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما اسم مباراة ميلان وإنتر؟,Which derby is AC Milan vs Inter Milan?,ديربي الغضب,Derby della Madonnina,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما لقب المنتخب الألماني؟,What is the nickname of the German national team?,المانشافت,Die Mannschaft,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما لقب بايرن ميونخ؟,What is the nickname of Bayern Munich?,الحمر,Die Roten,⚽ رياضة,كرة قدم,⚽ Sports,Football
من سجل هدف يد الله؟,Who scored the Hand of God goal?,دييغو مارادونا,Diego Maradona,⚽ رياضة,كرة قدم,⚽ Sports,Football
من سجل هدف القرن في 1986؟,"Which player scored the ""Goal of the Century"" in 1986?",دييغو مارادونا,Diego Maradona,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي أسطورة أرجنتينية لعبت لنابولي؟,Which Argentine legend played for Napoli?,دييغو مارادونا,Diego Maradona,⚽ رياضة,كرة قدم,⚽ Sports,Football
من سجل هدف الفوز في نهائي يورو 2016؟,Who scored the winning goal in the Euro 2016 final?,إيدر,Éder,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي دولة أفريقية فازت بأكبر عدد من بطولات أمم أفريقيا؟,Which African country has won the most AFCON titles?,مصر,Egypt,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما لقب منتخب المكسيك؟,What is the nickname of the Mexican national team?,إل تري,El Tri,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بالقفاز الذهبي في كأس العالم 2022؟,Which goalkeeper won the 2022 World Cup Golden Glove?,إيميليانو مارتينيز,Emiliano Martínez,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكأس العالم 1966؟,Which country won the 1966 FIFA World Cup?,إنجلترا,England,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي منتخب يُعرف بالأسود الثلاثة؟,Which country is known as the Three Lions?,إنجلترا,England,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي لاعب فرنسي لُقب بالملك؟,Which French player was nicknamed The King?,إريك كانتونا,Eric Cantona,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ يُلقب بالتوفيز؟,Which club is nicknamed The Toffees?,إيفرتون,Everton,⚽ رياضة,كرة قدم,⚽ Sports,Football
من لُقب بالنينيو؟,Which player was nicknamed El Niño?,فيرناندو توريس,Fernando Torres,⚽ رياضة,كرة قدم,⚽ Sports,Football
من أكبر منافسي أياكس؟,Which club is known as Ajax's biggest rival?,فينورد,Feyenoord,⚽ رياضة,كرة قدم,⚽ Sports,Football
من كان رئيس ريال مدريد في عصر الجلاكتيكوس؟,Who was Real Madrid president during the Galácticos era?,فلورنتينو بيريز,Florentino Pérez,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكوبا ليبرتادوريس 2023؟,Which club won the Copa Libertadores in 2023?,فلومينينسي,Fluminense,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكأس العالم 1998؟,Which country won the 1998 FIFA World Cup?,فرنسا,France,⚽ رياضة,كرة قدم,⚽ Sports,Football
من خسر نهائي كأس العالم 2022؟,Which team lost the 2022 World Cup final?,فرنسا,France,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكأس العالم 2018؟,Which country won the 2018 World Cup?,فرنسا,France,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي دولة استضافت يورو 2016؟,Which country hosted Euro 2016?,فرنسا,France,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بيورو 2000؟,Which nation won Euro 2000?,فرنسا,France,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ إنجليزي يُلقب بالأكواخ؟,Which English club is nicknamed The Cottagers?,فولهام,Fulham,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي لاعب أفريقي فاز بالكرة الذهبية 1995؟,Which African player won the Ballon d'Or in 1995?,جورج وياه,George Weah,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي دولة استضافت كأس العالم 2006؟,Which country hosted the 2006 World Cup?,ألمانيا,Germany,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكأس العالم 2014؟,Which country won the 2014 World Cup?,ألمانيا,Germany,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي دولة استضافت يورو 2024؟,Which country hosted Euro 2024?,ألمانيا,Germany,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بيورو 2004؟,Which country won Euro 2004?,اليونان,Greece,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي حارس قاد إسبانيا للفوز بكأس العالم؟,Which goalkeeper captained Spain to the 2010 World Cup?,إيكر كاسياس,Iker Casillas,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي حارس إسباني لُقب بالقديس؟,Which Spanish goalkeeper was nicknamed The Saint?,إيكر كاسياس,Iker Casillas,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بالدوري الإيطالي 2024؟,Which club won Serie A in 2024?,إنتر ميلان,Inter Milan,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ يُلقب بالنيراتزوري؟,Which club is known as The Nerazzurri?,إنتر ميلان,Inter Milan,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكأس العالم 2006؟,Which country won the 2006 FIFA World Cup?,إيطاليا,Italy,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي دولة فازت بيورو 2020؟,Which country won Euro 2020?,إيطاليا,Italy,⚽ رياضة,كرة قدم,⚽ Sports,Football
جماهير أي دولة تُعرف بالتيفوسي؟,Which country's fans are known as Tifosi?,إيطاليا,Italy,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكأس أمم أفريقيا 2023؟,Which country won AFCON 2023?,ساحل العاج,Ivory Coast,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بأمم أفريقيا 2015؟,Which country won AFCON 2015?,ساحل العاج,Ivory Coast,⚽ رياضة,كرة قدم,⚽ Sports,Football
من كان هداف ليستر في 2016؟,Which player was Leicester's top scorer in 2016?,جيمي فاردي,Jamie Vardy,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي أسطورة هولندية ارتدت الرقم 14؟,Which Dutch legend wore number 14?,يوهان كرويف,Johan Cruyff,⚽ رياضة,كرة قدم,⚽ Sports,Football
من يُعرف بـ السبيشال وان؟,Which manager is known as The Special One?,جوزيه مورينيو,José Mourinho,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بدوري الأبطال 2004 مع بورتو؟,Which manager won the 2004 Champions League with Porto?,جوزيه مورينيو,José Mourinho,⚽ رياضة,كرة قدم,⚽ Sports,Football
من قاد روما لأول لقب دوري مؤتمر؟,Which manager led Roma to the first Conference League title?,جوزيه مورينيو,José Mourinho,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما النادي المعروف بالسيدة العجوز؟,Which club is known as The Old Lady?,يوفنتوس,Juventus,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ يُلقب بالبيانكونيري؟,Which club is nicknamed The Bianconeri?,يوفنتوس,Juventus,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادي كرة قدم يقع في مدينة تورينو؟,Which club is based in Turin?,يوفنتوس,Juventus,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بالكرة الذهبية 2007؟,Which player won the 2007 Ballon d'Or?,كاكا,Kaká,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بالكرة الذهبية 2022؟,Which player won the 2022 Ballon d'Or?,كريم بنزيما,Karim Benzema,⚽ رياضة,كرة قدم,⚽ Sports,Football
من سجل هاتريك في نهائي كأس العالم 2022؟,Who scored a hat-trick in the 2022 World Cup final?,كيليان مبابي,Kylian Mbappé,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بالحذاء الذهبي في كأس العالم 2022؟,Which player won the 2022 World Cup Golden Boot?,كيليان مبابي,Kylian Mbappé,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما لقب منتخب الأوروغواي؟,What is the nickname of the Uruguay national team?,لا سيليستي,La Celeste,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما الأكاديمية المشهورة بإنتاج نجوم برشلونة؟,Which academy is famous for producing Barcelona stars?,لا ماسيا,La Masia,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادي انكليزي يُلقب بالثعالب؟,Which English club is known as The Foxes?,ليستر سيتي,Leicester City,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ حقق لقباً تاريخياً في 2016؟,Which club achieved a famous Premier League title in 2016?,ليستر سيتي,Leicester City,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما لقب المنتخب الفرنسي؟,What is the nickname of the French national team?,الديوك الزرق,Les Bleus,⚽ رياضة,كرة قدم,⚽ Sports,Football
من أي دولة جورج وياه؟,Which country does George Weah come from?,ليبيريا,Liberia,⚽ رياضة,كرة قدم,⚽ Sports,Football
من كان قائد الأرجنتين في كأس العالم 2022؟,Who captained Argentina to the 2022 World Cup?,ليونيل ميسي,Lionel Messi,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بالكرة الذهبية في كأس العالم 2022؟,Who won the Golden Ball at the 2022 World Cup?,ليونيل ميسي,Lionel Messi,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي لاعب فاز بأكبر عدد من الكرات الذهبية؟,Which player has won the most Ballon d'Or awards?,ليونيل ميسي,Lionel Messi,⚽ رياضة,كرة قدم,⚽ Sports,Football
من يُلقب بالبرغوث؟,Which player is nicknamed The Flea?,ليونيل ميسي,Lionel Messi,⚽ رياضة,كرة قدم,⚽ Sports,Football
من الهداف التاريخي للأرجنتين؟,Who is Argentina's all-time top scorer?,ليونيل ميسي,Lionel Messi,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بالكرة الذهبية 2023؟,Which player won the 2023 Ballon d'Or?,ليونيل ميسي,Lionel Messi,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ يلعب في أنفيلد؟,Which club plays at Anfield?,ليفربول,Liverpool,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بدوري الأبطال 2019؟,Which club won the Champions League in 2019?,ليفربول,Liverpool,⚽ رياضة,كرة قدم,⚽ Sports,Football
في أي مدينة يقع نادي ليفربول؟,In which city is Liverpool FC based?,ليفربول,Liverpool,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ يُلقب بالحمر؟,Which club is nicknamed The Reds?,ليفربول,Liverpool,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ يرتبط بشعار لن تسير وحدك أبداً؟,"Which club is associated with the phrase ""You'll Never Walk Alone""?",ليفربول,Liverpool,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما لقب ريال مدريد؟,What is the nickname of Real Madrid?,الميرينغي,Los Blancos,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي لاعب كرواتي فاز بالكرة الذهبية 2018؟,Which Croatian player won the Ballon d'Or in 2018?,لوكا مودريتش,Luka Modrić,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بالكرة الذهبية 2018؟,Which player won the 2018 Ballon d'Or?,لوكا مودريتش,Luka Modrić,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي ملعب استضاف نهائي كأس العالم 2022؟,Which stadium hosted the 2022 World Cup final?,ملعب لوسيل,Lusail Stadium,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما اسم ديربي ريال مدريد وأتلتيكو مدريد؟,Which derby is Real Madrid vs Atlético Madrid?,ديربي مدريد,Madrid Derby,⚽ رياضة,كرة قدم,⚽ Sports,Football
مع أي نادٍ حقق دي بروين الثلاثية؟,Which club did Kevin De Bruyne help win the 2023 treble?,مانشستر سيتي,Manchester City,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بدوري الأبطال 2023؟,Which club won the Champions League in 2023?,مانشستر سيتي,Manchester City,⚽ رياضة,كرة قدم,⚽ Sports,Football
لأي نادٍ يلعب إرلينغ هالاند؟,Which club does Erling Haaland play for?,مانشستر سيتي,Manchester City,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادي إنكليزي يُلقب بالمواطنين؟,Which club is nicknamed The Citizens?,مانشستر سيتي,Manchester City,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ حقق الثلاثية عام 2023؟,Which club won the treble in 2023?,مانشستر سيتي,Manchester City,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بالدوري الإنجليزي 2024؟,Which club won the Premier League in 2024?,مانشستر سيتي,Manchester City,⚽ رياضة,كرة قدم,⚽ Sports,Football
جماهير أي نادٍ تغني Blue Moon؟,"Which club's fans sing ""Blue Moon""?",مانشستر سيتي,Manchester City,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ حقق الثلاثية عام 1999؟,Which club won the treble in 1999?,مانشستر يونايتد,Manchester United,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ يُلقب بالشياطين الحمر؟,Which club is nicknamed The Red Devils?,مانشستر يونايتد,Manchester United,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ فاز بأكبر عدد من ألقاب الدوري الإنجليزي؟,Which club has won the most Premier League titles?,مانشستر يونايتد,Manchester United,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بأول نسخة من الدوري الإنجليزي الممتاز؟,Which club won the first Premier League season?,مانشستر يونايتد,Manchester United,⚽ رياضة,كرة قدم,⚽ Sports,Football
في أي نادٍ أصبح إريك كانتونا أسطورة؟,Which club did Eric Cantona become a legend at?,مانشستر يونايتد,Manchester United,⚽ رياضة,كرة قدم,⚽ Sports,Football
